Ashton Jeanty,Josh Jacobs,Jonathan Taylor,Bucky Irving,Derrick Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.23,24.42,24.05,8.29,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.47,8.99,6.73,6.6,4.07,3.9,3.49,3.33,3.3,3.12,2.97,2.94,2.83,2.49,2.48,2.43,2.3,2.19,1.86,1.85,1.82,1.81,1.81,1.5,1.44,1.41,1.38,1.25,1.17,1.09,,,
Christian Kirk,Blake Corum,Justin Fields,Philadelphia Eagles,Jerome Ford,Keon Coleman,Ray Davis,Baltimore Ravens,Jordan Mason,Dak Prescott,Minnesota Vikings,Tyjae Spears,Quentin Johnston,J.K. Dobbins,Rashod Bateman,Javonte Williams,Tua Tagovailoa,Tyler Allgeier,Marvin Mims Jr.,Trevor Lawrence,Stefon Diggs,New York Jets,C.J. Stroud,Matthew Golden,Matthew Stafford,Kaleb Johnson,Kansas City Chiefs,Rico Dowdle,Dallas Goedert,Trey Benson,Keenan Allen,Drake Maye,Michael Pittman Jr.
6.61,6.27,6.12,5.18,4.81,4.7,4.51,3.65,3.59,3.4,3.33,3.23,3.01,2.5,2.47,2.36,2.23,2.2,2.19,2.04,2,1.92,1.66,1.61,1.58,1.47,1.26,1.2,1.19,1.12,1.1,1.05,1.02
Justin Fields,Chris Boswell,Minnesota Vikings,New York Jets,Adam Thielen,Buffalo Bills,Hunter Henry,Detroit Lions,Cameron Dicker,Jaylen Wright,Tre Harris,Matthew Stafford,Michael Penix Jr.,Travis Hunter,Austin Ekeler,Los Angeles Chargers,Quentin Johnston,Kansas City Chiefs,Cedric Tillman,Kaleb Johnson,Cole Kmet,Isaac Guerendo,Pat Freiermuth,Trey Benson,,,,,,,,,
15.59,13.49,10.28,7,5.53,4.17,4.01,2.22,2.04,1.98,1.94,1.91,1.9,1.8,1.73,1.57,1.46,1.37,1.33,1.26,1.2,1.17,1.13,1.01,,,,,,,,,
Cameron Dicker,Tre Harris,Trey Benson,Chris Boswell,Ka'imi Fairbairn,Buffalo Bills,Justin Fields,Isaac Guerendo,Los Angeles Chargers,Romeo Doubs,Adam Thielen,Austin Ekeler,Jayden Higgins,Jaylen Wright,Trevor Lawrence,Hunter Henry,Wil Lutz,Travis Hunter,Ray Davis,Minnesota Vikings,Michael Penix Jr.,Amari Cooper,Dallas Goedert,Pat Freiermuth,Alec Pierce,Kaleb Johnson,New York Jets,,,,,,
12.18,10.22,6.12,4.95,4.93,4.39,4.08,3.98,3.85,3.69,3.43,3.15,2.44,2.07,1.71,1.62,1.6,1.59,1.53,1.51,1.48,1.41,1.21,1.18,1.15,1.1,1.05,,,,,,
Isaiah Bond,Seattle Seahawks,Zach Ertz,Wil Lutz,Jack Bech,Romeo Doubs,Evan McPherson,Jason Sanders,Los Angeles Chargers,Green Bay Packers,Alec Pierce,Jayden Higgins,Buffalo Bills,Houston Texans,Adam Thielen,Hunter Henry,Cam Skattebo,Anthony Richardson,Chase McLaughlin,Ka'imi Fairbairn,Austin Ekeler,Cole Kmet,Xavier Legette,Isaac Guerendo,Justin Fields,Amari Cooper,Harrison Butker,Cedric Tillman,Audric Estime,,,,
10.03,9.8,7.04,5.59,5.34,5.02,4.02,3.63,3.53,3.32,3.23,2.91,2.37,2.1,2.03,1.83,1.82,1.77,1.63,1.61,1.6,1.59,1.43,1.4,1.35,1.34,1.32,1.08,1.04,,,,
Xavier Legette,Isaiah Bond,Marquise Brown,Jayden Higgins,Seattle Seahawks,Amari Cooper,Chase McLaughlin,Cedric Tillman,Houston Texans,Hunter Henry,Jason Sanders,Bryce Young,Braelon Allen,Alec Pierce,Michael Penix Jr.,Cam Skattebo,DeAndre Hopkins,Dylan Sampson,Green Bay Packers,Audric Estime,Isaac Guerendo,Jack Bech,Bhayshul Tuten,Harrison Butker,Evan McPherson,Jake Ferguson,Romeo Doubs,Isaiah Likely,Adam Thielen,Geno Smith,,,
7.26,6.7,6.09,5.87,5.03,5.03,5.01,4.84,4.5,4.27,3.29,3.08,3,2.86,2.39,2.38,2.18,2.16,1.82,1.71,1.55,1.54,1.45,1.37,1.29,1.26,1.21,1.19,1.17,1.1,,,
