Jahmyr Gibbs,CeeDee Lamb,Justin Jefferson,Bijan Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.22,21.16,20.17,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.75,18.19,10.86,5.39,4.68,4.28,3.83,3.4,2.76,2.63,2.26,2.03,1.67,1.66,1.53,1.39,1.15,,,,,,,,,,,,,,,
C.J. Stroud,Tua Tagovailoa,Quentin Johnston,Anthony Richardson,Matthew Stafford,Stefon Diggs,Kyle Pitts,Jake Bates,Christian Kirk,Michael Penix Jr.,Evan Engram,Trevor Lawrence,Justin Fields,Travis Hunter,Matthew Golden,Philadelphia Eagles,Kaleb Johnson,Hunter Henry,Kansas City Chiefs,Baltimore Ravens,Minnesota Vikings,Dak Prescott,Ray Davis,,,,,,,,,
13.91,9.91,9.52,7.73,6.89,4.74,4.61,4.55,3.46,2.88,2.41,1.81,1.38,1.36,1.34,1.3,1.28,1.24,1.21,1.13,1.06,1.04,1.02,,,,,,,,,
Rashod Bateman,Jaylen Wright,Marvin Mims Jr.,Matthew Golden,Kansas City Chiefs,Austin Ekeler,Michael Penix Jr.,Colston Loveland,Anthony Richardson,Javonte Williams,Ray Davis,Jordan Mason,Quentin Johnston,Jake Bates,Detroit Lions,Kaleb Johnson,Kyle Pitts,Cameron Dicker,Blake Corum,Keenan Allen,Matthew Stafford,Travis Hunter,Romeo Doubs,Pat Freiermuth,Tre Harris,Dylan Sampson,Jerome Ford,Minnesota Vikings,,,,
8.83,5.33,5.3,4.72,4.48,3.9,3.61,3.56,3.51,3.46,3.42,3.27,3.2,3.18,2.73,2.5,2.45,2.31,2.31,2.22,2.13,1.88,1.75,1.58,1.49,1.45,1.1,1.04,,,,
Romeo Doubs,Hunter Henry,Amari Cooper,Isaac Guerendo,Cole Kmet,Evan McPherson,Cameron Dicker,Tre Harris,Quentin Johnston,Rashod Bateman,Dylan Sampson,Cedric Tillman,Wil Lutz,Anthony Richardson,Jaylen Wright,Adam Thielen,Chris Boswell,Trey Benson,Buffalo Bills,Marvin Mims Jr.,Alec Pierce,Los Angeles Chargers,Michael Penix Jr.,Justin Fields,Javonte Williams,Austin Ekeler,Houston Texans,Matthew Stafford,Kyle Pitts,Jayden Higgins,Travis Hunter,Cam Skattebo
7.63,6.89,6.67,5.89,5.07,4.02,3.79,3.57,3.34,3.3,3.07,3.05,2.88,2.67,2.56,2.54,2.26,2.11,1.91,1.81,1.7,1.69,1.69,1.45,1.23,1.23,1.2,1.19,1.12,1.11,1.09,1.01
Ka'imi Fairbairn,Evan McPherson,Bryce Young,Cameron Dicker,Kaleb Johnson,Michael Penix Jr.,Adam Thielen,New York Jets,Audric Estime,Jason Sanders,Isaiah Bond,Houston Texans,Tre Harris,Jack Bech,Cedric Tillman,Los Angeles Chargers,Jake Ferguson,Anthony Richardson,Hunter Henry,Geno Smith,Dylan Sampson,Jayden Higgins,Pat Freiermuth,Wil Lutz,Justin Fields,Cam Skattebo,Chris Boswell,Amari Cooper,Trey Benson,Braelon Allen,,
8.82,7.69,5.93,5.91,5.83,4.45,3.85,3.81,3.68,3.51,3.26,2.84,2.28,2.16,2.1,2.05,1.86,1.85,1.8,1.71,1.65,1.65,1.63,1.54,1.52,1.41,1.29,1.27,1.19,1.14,,
Jack Bech,Xavier Legette,Chase McLaughlin,Zach Ertz,Jake Elliott,DeAndre Hopkins,Nick Chubb,Michael Penix Jr.,Harrison Butker,Jayden Higgins,Devin Neal,Alec Pierce,Cole Kmet,Marquise Brown,Isaiah Bond,Jake Ferguson,Jalen Coker,Dontayvion Wicks,,,,,,,,,,,,,,
14.93,13.65,10.78,9.19,9.09,7.13,6.03,4.2,3.29,2.76,2.3,1.63,1.4,1.29,1.29,1.24,1.11,1.05,,,,,,,,,,,,,,
