Rk,Previous Rank,Age,FantPos,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,PPR,PosRank
57,226,26,1,17,11,0,0,0,0,0,0,0,,0,78,65,653,10.05,7,3,2,7,168.3,9
58,91,27,1,17,17,372,541,3851,21,11,78,572,7.33,5,0,0,0,,0,8,4,5,297.2,10
59,26,35,1,16,16,0,0,0,0,0,1,1,1,0,133,97,823,8.48,3,2,1,3,195.4,10
60,23,25,1,12,12,0,0,0,0,0,0,0,,0,99,68,1006,14.79,7,0,0,7,210.6,20
61,45,24,1,17,10,0,0,0,0,0,20,163,8.15,1,75,55,857,15.58,6,3,1,7,197,21
62,405,26,0,13,11,0,0,0,0,0,195,905,4.64,9,38,32,153,4.78,0,0,0,9,191.8,21
63,63,27,0,16,16,0,0,0,0,0,260,1079,4.15,5,57,41,238,5.8,0,2,2,5,200.7,22
64,156,26,0,16,15,0,0,0,0,0,235,1079,4.59,2,49,39,249,6.38,3,3,2,5,197.8,23
65,15,27,1,17,17,0,1,0,0,0,14,75,5.36,0,140,98,966,9.86,6,1,1,6,238.1,22
66,4,30,1,17,17,0,0,0,0,0,8,53,6.63,0,123,81,959,11.84,6,0,0,6,218.2,23
67,101,24,1,17,15,0,0,0,0,0,9,56,6.22,0,116,74,1059,14.31,4,0,0,4,209.5,24
68,0,22,1,17,16,0,0,0,0,0,0,0,,0,116,62,885,14.27,8,1,1,8,196.5,26
69,44,30,1,17,14,0,0,0,0,0,8,55,6.88,1,120,64,1017,15.89,4,1,1,5,199.2,25
70,267,27,1,15,10,0,0,0,0,0,0,0,,0,113,77,975,12.66,6,1,0,6,210.5,27
71,81,26,1,17,17,332,504,3870,23,3,69,306,4.43,2,0,0,0,,0,6,2,2,285.4,11
72,54,26,1,13,13,0,0,0,0,0,1,1,1,0,89,68,833,12.25,8,0,0,8,199.4,28
73,51,28,1,15,15,0,0,0,0,0,2,23,11.5,0,129,87,1027,11.8,4,0,0,4,218,29
74,50,29,1,16,16,392,581,3928,26,11,58,307,5.29,2,1,1,2,2,0,2,0,2,283,12
75,31,25,1,15,15,300,455,3864,20,12,66,323,4.89,5,0,0,0,,0,7,3,5,266.9,13
76,83,34,1,17,17,407,578,4320,21,15,53,272,5.13,2,0,0,0,,0,9,0,2,266,14
77,601,41,1,17,17,368,584,3897,28,11,22,107,4.86,0,0,0,0,,0,5,2,0,256.6,15
78,0,23,1,17,17,351,562,3541,20,6,81,489,6.04,0,0,0,0,,0,10,5,0,254.5,16
79,18,26,1,15,15,268,425,3389,25,11,25,83,3.32,1,0,0,0,,0,4,0,1,233.9,17
80,58,23,1,17,17,336,532,3727,20,12,52,233,4.48,0,1,0,0,,0,6,4,0,220.4,18
81,79,36,1,16,16,340,517,3762,20,8,30,41,1.37,0,0,0,0,,0,6,2,0,214.6,19
82,88,23,1,14,12,234,384,2403,15,9,43,249,5.79,6,0,0,0,,0,5,2,6,195,20
83,66,26,1,11,11,291,399,2867,19,7,17,49,2.88,0,0,0,0,,0,7,2,0,181.6,21
84,0,22,1,13,12,225,338,2276,15,10,54,421,7.8,2,0,0,0,,0,9,6,2,177.1,22
85,89,36,1,14,14,303,453,3508,18,16,23,0,0,0,0,0,0,,0,13,2,0,176.3,23
86,78,36,1,11,11,214,336,2482,16,5,43,155,3.6,2,0,0,0,,0,5,4,2,172.8,24
87,164,22,1,11,11,126,264,1814,8,12,86,499,5.8,6,1,1,-1,-1,0,9,3,6,163.4,25
88,80,33,1,10,10,189,279,2145,15,5,17,71,4.18,1,0,0,0,,0,3,0,1,150.9,26
89,24,25,0,16,15,0,0,0,0,0,144,613,4.26,3,57,51,393,7.71,6,3,3,9,199.6,24
90,162,23,0,17,6,0,0,0,0,0,135,569,4.21,8,52,42,340,8.1,1,0,0,9,186.9,25
91,76,25,1,10,10,172,284,2045,11,7,26,119,4.58,3,0,0,-5,,0,3,1,3,145.2,27
92,0,25,0,17,12,0,0,0,0,0,192,839,4.37,5,53,38,284,7.47,1,5,2,6,182.3,26
93,117,26,0,15,14,0,0,0,0,0,207,801,3.87,7,41,33,168,5.09,1,7,3,8,175.9,27
94,71,25,0,14,13,0,0,0,0,0,187,799,4.27,8,25,20,159,7.95,0,2,2,8,159.8,28
95,201,27,1,10,10,216,341,2070,8,7,67,265,3.96,2,0,0,0,,0,4,2,2,135.3,28
96,59,24,0,11,11,0,0,0,0,0,153,573,3.75,7,53,46,299,6.5,1,1,0,8,181.2,29
97,122,29,0,13,8,0,0,0,0,0,200,728,3.64,7,32,23,176,7.65,0,0,0,7,155.4,30
98,393,30,1,12,7,181,296,2121,13,12,25,83,3.32,1,0,0,0,,0,5,2,1,131.1,29
99,224,25,1,17,14,0,0,0,0,0,0,0,,0,72,45,756,16.8,9,0,0,9,174.6,30
100,220,27,1,16,16,0,1,0,0,0,0,0,,0,106,64,992,15.5,5,0,0,5,193.2,31
101,14,23,1,11,11,0,0,0,0,0,11,46,4.18,1,106,79,990,12.53,3,0,0,4,206.6,33
102,0,21,1,17,13,0,0,0,0,0,20,104,5.2,3,98,59,638,10.81,6,0,0,9,187.2,32
103,39,27,1,15,12,0,0,0,0,0,0,0,,0,108,66,992,15.03,5,2,2,5,191.2,34
104,185,24,1,16,13,0,0,0,0,0,0,0,,0,69,37,824,22.27,7,0,0,7,161.4,35
105,327,23,0,16,1,0,0,0,0,0,168,766,4.56,7,12,7,54,7.71,0,4,1,7,129,31
106,204,23,1,15,11,0,0,0,0,0,3,6,2,0,91,55,711,12.93,8,0,0,8,174.7,36
107,125,25,1,12,12,190,301,2091,13,12,45,183,4.07,0,0,0,0,,0,10,6,0,119.9,30
108,82,25,1,10,6,106,161,1106,5,1,62,289,4.66,5,0,0,0,,0,6,1,5,119.1,31
109,8,31,1,8,8,185,286,1978,11,8,13,54,4.15,1,0,0,0,,0,4,1,1,116.5,32
110,27,32,1,15,15,0,1,0,0,1,0,0,,0,121,70,744,10.63,7,1,0,7,184.4,37
111,135,23,1,14,8,0,0,0,0,0,1,12,12,0,107,72,803,11.15,5,0,0,5,183.5,38
112,473,31,1,12,8,187,308,1844,12,5,26,18,0.69,0,0,0,0,,0,9,3,0,109.6,33
113,120,31,1,12,11,0,0,0,0,0,2,10,5,0,100,67,710,10.6,6,1,0,6,175,39
114,158,24,1,15,9,0,0,0,0,0,2,4,2,0,100,76,821,10.8,4,1,0,4,182.5,40
115,100,24,0,17,11,0,0,0,0,0,139,513,3.69,4,70,52,346,6.65,0,2,2,4,157.9,32
116,55,23,1,14,12,0,0,0,0,0,2,-6,-3,0,103,59,900,15.25,3,1,1,3,164.4,41
117,232,25,0,12,6,0,0,0,0,0,153,789,5.16,3,14,11,91,8.27,0,3,1,3,115,33
118,203,27,1,17,9,0,0,0,0,0,0,0,,0,60,32,497,15.53,9,0,0,9,135.7,42
119,21,28,1,15,15,0,0,0,0,0,42,136,3.24,1,81,51,670,13.14,3,2,1,4,153.6,44
120,253,25,1,17,15,0,0,0,0,0,0,0,,0,79,49,610,12.45,7,0,0,7,152,43
121,123,26,0,14,7,0,0,0,0,0,132,420,3.18,4,48,36,294,8.17,1,1,1,5,137.4,34
122,0,25,0,17,0,0,0,0,0,0,113,442,3.91,3,19,17,189,11.12,3,0,0,6,116.1,35
123,127,39,1,8,6,162,248,1761,12,7,9,26,2.89,0,0,0,0,,0,4,4,0,99,34
124,0,23,1,13,12,0,0,0,0,0,4,43,10.75,0,58,37,461,12.46,8,0,0,8,135.4,45
125,99,29,0,12,6,0,0,0,0,0,77,367,4.77,4,41,35,366,10.46,0,3,0,4,132.3,36
