Rk,Previous Rank,Age,FantPos,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,PPR,PosRank
250,150,30,1,16,8,0,1,0,0,0,1,3,3,0,57,39,390,10,0,0,0,0,78.3,100
251,213,25,0,13,0,0,0,0,0,0,24,223,9.29,1,20,16,104,6.5,0,0,0,1,54.7,67
252,0,21,1,16,6,0,0,0,0,0,2,8,4,0,53,28,263,9.39,2,0,0,2,67.1,101
253,0,23,1,12,11,0,0,0,0,0,0,0,,0,43,29,331,11.41,1,0,0,1,68.1,38
254,0,33,1,17,15,0,0,0,0,0,5,26,5.2,1,31,19,200,10.53,2,1,1,3,57.6,68
255,354,25,0,17,3,0,0,0,0,0,56,159,2.84,2,19,16,99,6.19,0,0,0,2,53.8,69
256,25,26,1,7,7,0,0,0,0,0,0,0,,0,47,25,374,14.96,0,0,0,0,62.4,102
257,184,29,1,12,9,0,1,0,0,0,1,6,6,0,38,28,305,10.89,1,0,0,1,65.1,104
258,317,25,1,16,3,0,1,0,0,0,3,26,8.67,0,40,30,308,10.27,1,1,1,1,67.4,103
259,0,22,0,17,0,0,0,0,0,0,30,174,5.8,1,12,9,75,8.33,1,0,0,2,45.9,71
260,268,28,1,16,13,0,0,0,0,0,0,0,,0,33,22,311,14.14,1,0,0,1,59.1,39
261,421,30,0,17,1,0,0,0,0,0,30,112,3.73,0,28,19,198,10.42,1,0,0,1,56,70
262,454,26,1,17,13,0,0,0,0,0,0,0,,0,30,24,298,12.42,1,0,0,1,59.8,40
263,274,30,1,18,5,0,0,0,0,0,0,0,,0,34,21,298,14.19,1,0,0,1,56.8,105
264,186,31,1,14,7,0,0,0,0,0,0,0,,0,29,14,231,16.5,2,0,0,2,49.1,106
265,432,26,1,15,2,0,0,0,0,0,0,0,,0,41,26,291,11.19,1,0,0,1,61.1,107
266,251,25,1,17,9,0,0,0,0,0,0,0,,0,49,30,294,9.8,1,0,0,1,65.4,41
267,271,28,1,14,8,0,0,0,0,0,0,0,,0,26,18,231,12.83,2,0,0,2,53.1,108
268,113,25,1,10,9,0,0,0,0,0,0,0,,0,42,20,239,11.95,2,1,1,2,53.9,109
269,385,24,0,16,0,0,0,0,0,0,32,153,4.78,1,15,11,61,5.55,1,0,0,2,44.4,72
270,265,26,1,17,7,0,0,0,0,0,0,0,,0,45,31,293,9.45,1,2,1,1,64.3,110
271,1,28,0,4,4,0,0,0,0,0,50,202,4.04,0,19,15,146,9.73,0,1,1,0,47.8,73
272,131,28,1,14,2,0,0,0,0,0,5,14,2.8,0,46,31,253,8.16,1,0,0,1,63.7,111
273,254,24,1,12,11,0,0,0,0,0,0,0,,0,32,23,234,10.17,2,1,1,2,56.4,42
274,369,25,1,17,4,0,0,0,0,0,0,0,,0,37,28,248,8.86,1,0,0,1,60.8,43
275,614,31,1,17,10,0,0,0,0,0,0,0,,0,20,17,135,7.94,3,0,0,3,48.5,44
276,397,24,0,15,0,0,0,0,0,0,36,183,5.08,1,13,11,69,6.27,0,0,0,1,42.2,74
277,84,29,1,2,1,32,47,361,2,2,9,24,2.67,2,0,0,0,,0,2,1,2,30.8,48
278,358,24,1,13,3,0,0,0,0,0,0,0,,0,37,24,254,10.58,1,1,0,1,55.4,112
279,0,22,1,17,7,1,1,24,0,0,4,6,1.5,0,55,23,312,13.57,0,2,1,0,53.8,114
280,260,24,0,9,0,0,0,0,0,0,35,173,4.94,2,1,1,12,12,0,0,0,2,31.5,75
281,248,27,1,17,14,0,0,0,0,0,0,0,,0,22,13,188,14.46,2,0,0,2,43.8,45
282,612,27,1,12,6,0,0,0,0,0,5,33,6.6,1,29,16,158,9.88,1,1,0,2,47.1,113
283,0,24,1,15,3,0,0,0,0,0,2,12,6,0,28,22,293,13.32,0,0,0,0,52.5,115
284,480,25,1,17,10,0,0,0,0,0,0,0,,0,15,14,115,8.21,3,0,0,3,43.5,47
285,0,25,0,17,0,0,0,0,0,0,34,89,2.62,2,3,3,49,16.33,1,1,1,3,32.8,76
286,342,26,1,17,6,0,0,0,0,0,0,0,,0,36,27,241,8.93,1,0,0,1,57.1,46
287,222,29,1,15,4,1,1,21,1,0,0,0,,0,27,20,211,10.55,1,1,1,1,49.9,116
288,328,24,1,17,6,0,0,0,0,0,0,0,,0,24,20,172,8.6,2,0,0,2,49.2,48
289,0,24,1,2,1,30,45,323,4,0,5,-1,-0.2,0,0,0,0,,0,0,0,0,28.8,49
290,0,23,1,14,3,0,0,0,0,0,5,25,5,1,36,26,223,8.58,0,1,1,1,54.8,117
291,0,23,0,10,0,0,0,0,0,0,43,155,3.6,0,9,5,62,12.4,1,1,0,1,32.7,78
292,231,29,0,14,1,0,0,0,0,0,48,164,3.42,1,11,9,57,6.33,0,0,0,1,37.1,77
293,0,24,0,17,1,0,0,0,0,0,58,207,3.57,0,8,7,58,8.29,0,0,0,0,33.5,81
294,333,24,1,15,2,0,0,0,0,0,12,39,3.25,0,17,13,112,8.62,2,3,0,2,40.1,118
295,147,28,0,11,3,0,0,0,0,0,71,232,3.27,0,8,6,54,9,0,2,1,0,32.6,80
296,344,26,0,13,1,0,0,0,0,0,39,183,4.69,1,11,3,25,8.33,0,0,0,1,29.8,79
297,323,30,1,17,3,0,0,0,0,0,0,0,,0,27,19,142,7.47,2,0,0,2,45.2,49
298,282,33,0,13,1,0,0,0,0,0,32,135,4.22,0,14,12,80,6.67,1,1,1,1,37.5,82
299,445,23,1,17,9,0,0,0,0,0,0,0,,0,25,19,200,10.53,1,0,0,1,45,50
300,263,25,0,3,1,0,0,0,0,0,35,131,3.74,1,11,11,57,5.18,0,0,0,1,35.8,83
301,321,29,1,17,2,0,0,0,0,0,0,0,,0,12,7,131,18.71,1,0,0,2,32.1,121
302,589,24,1,11,3,0,0,0,0,0,0,0,,0,20,12,128,10.67,2,0,0,2,36.8,122
303,115,26,1,5,1,25,42,291,2,1,9,15,1.67,1,0,0,0,,0,1,0,1,25.1,50
304,136,29,1,9,2,0,0,0,0,0,0,0,,0,24,13,194,14.92,1,0,0,1,38.4,119
305,435,25,1,17,0,0,0,0,0,0,0,0,,0,12,11,193,17.55,1,1,0,1,36.3,120
306,436,24,1,14,1,0,0,0,0,0,0,0,,0,30,12,177,14.75,1,0,0,1,35.7,123
307,438,24,1,16,6,0,0,0,0,0,0,0,,0,14,11,115,10.45,2,1,0,2,34.5,51
308,304,28,0,14,1,0,0,0,0,0,32,143,4.47,0,19,12,96,8,0,0,0,0,35.9,85
309,269,22,0,6,2,0,0,0,0,0,39,148,3.79,1,8,5,33,6.6,0,0,0,1,29.1,84
310,0,21,0,15,1,0,0,0,0,0,68,249,3.66,0,6,3,8,2.67,0,1,1,0,26.7,86
311,155,24,1,17,6,0,0,0,0,0,1,13,13,0,33,19,216,11.37,0,0,0,0,41.9,125
312,202,23,1,15,3,0,0,0,0,0,0,0,,0,22,12,172,14.33,1,1,0,1,35.2,124
313,199,25,0,8,5,0,0,0,0,0,65,183,2.82,1,8,6,30,5,0,2,2,1,29.3,87
314,146,26,0,17,0,0,0,0,0,0,56,182,3.25,0,6,6,42,7,0,0,0,0,28.4,88
315,341,24,1,13,1,0,0,0,0,0,0,0,,0,13,10,97,9.7,2,0,0,2,31.7,126
316,133,26,0,14,1,0,0,0,0,0,36,130,3.61,1,11,10,25,2.5,0,1,0,1,31.5,89
317,86,25,1,6,1,52,85,458,2,2,9,36,4,0,0,0,0,,0,3,2,0,21.9,51
318,370,26,1,17,8,0,0,0,0,0,0,0,,0,16,13,100,7.69,2,0,0,2,35,52
319,256,31,1,17,13,0,0,0,0,0,0,0,,0,22,12,147,12.25,1,0,0,1,32.7,53
320,398,26,1,12,0,0,0,0,0,0,5,62,12.4,1,14,12,90,7.5,0,0,0,1,33.2,127
321,0,24,0,5,2,0,0,0,0,0,39,183,4.69,0,7,6,29,4.83,0,0,0,0,27.2,90
322,0,22,1,15,7,0,0,0,0,0,1,0,0,0,33,12,87,7.25,2,0,0,2,32.7,128
323,247,26,0,14,0,0,0,0,0,0,26,108,4.15,0,22,14,104,7.43,0,0,0,0,35.2,91
324,183,33,1,1,1,27,41,334,2,1,2,5,2.5,0,0,0,0,,0,0,0,0,19.9,53
325,237,30,1,11,0,0,0,0,0,0,1,1,1,0,23,19,154,8.11,1,1,1,1,38.5,54
326,0,29,1,8,0,0,0,0,0,0,0,0,,0,28,12,120,10,1,0,0,1,32,129
327,139,35,1,2,0,17,22,119,3,0,3,13,4.33,0,0,0,0,,0,1,0,0,20.1,52
328,453,32,1,17,2,0,0,0,0,0,7,8,1.14,1,10,10,65,6.5,1,0,0,2,29.3,93
329,562,28,0,15,0,0,0,0,0,0,20,69,3.45,0,12,10,59,5.9,1,0,0,1,28.8,94
330,188,31,1,3,3,0,0,0,0,0,0,0,,0,12,8,66,8.25,2,0,0,2,26.6,58
331,364,25,1,13,3,0,0,0,0,0,1,2,2,0,11,9,131,14.56,1,0,0,1,28.3,55
332,584,24,0,17,0,0,0,0,0,0,31,172,5.55,0,4,3,22,7.33,0,0,0,0,22.4,92
333,0,24,1,1,0,22,29,241,1,0,10,16,1.6,1,0,0,0,,0,1,1,1,19.2,54
334,330,26,1,15,2,0,0,0,0,0,0,0,,0,19,16,208,13,0,1,1,0,34.8,57
335,0,24,1,15,9,0,0,0,0,0,0,0,,0,22,15,133,8.87,1,0,0,1,34.3,56
336,483,26,0,17,0,0,0,0,0,0,9,49,5.44,0,3,3,11,3.67,1,1,0,2,21,95
337,229,26,1,17,6,0,0,0,0,0,0,0,,0,31,14,182,13,0,0,0,0,32.2,59
338,0,23,1,7,1,0,0,0,0,0,0,0,,0,15,9,118,13.11,1,0,0,1,26.8,131
339,310,28,0,17,0,0,0,0,0,0,31,139,4.48,0,5,3,40,13.33,0,1,0,0,20.9,96
340,218,32,1,15,4,0,0,0,0,0,0,0,,0,30,20,203,10.15,0,3,1,0,38.3,130
341,243,26,1,17,3,0,0,0,0,0,0,0,,0,17,13,107,8.23,1,0,0,1,29.7,135
342,336,31,1,6,1,0,0,0,0,0,0,0,,0,13,9,72,8,2,2,1,2,26.2,132
343,0,27,1,15,2,0,0,0,0,0,5,45,9,0,8,2,67,33.5,1,0,0,1,19.2,133
344,0,23,1,17,4,0,0,0,0,0,0,0,,0,24,18,168,9.33,0,0,0,0,34.8,134
345,287,26,1,17,6,0,0,0,0,0,0,0,,0,14,9,109,12.11,1,0,0,1,25.9,60
346,284,28,1,17,15,0,0,0,0,0,1,-4,-4,0,22,20,109,5.45,1,1,0,1,36.5,61
347,0,22,0,17,3,0,0,0,0,0,56,183,3.27,0,11,7,26,3.71,0,3,2,0,23.9,97
348,0,24,1,9,6,0,0,0,0,0,0,0,,0,22,20,158,7.9,0,0,0,0,35.8,62
349,0,24,1,8,2,0,0,0,0,0,1,9,9,0,22,11,151,13.73,0,1,0,0,27,136
350,228,23,1,11,8,0,0,0,0,0,0,0,,0,32,21,156,7.43,0,0,0,0,36.6,64
351,518,30,1,17,3,0,0,0,0,0,0,0,,0,14,11,97,8.82,1,1,0,1,26.7,63
352,331,25,1,7,2,61,118,440,0,6,21,122,5.81,0,0,0,0,,0,3,1,0,15.8,55
353,0,28,1,15,10,0,0,0,0,0,10,17,1.7,1,12,11,96,8.73,0,2,1,1,26.3,98
354,357,26,1,13,2,0,0,0,0,0,0,0,,0,23,19,152,8,0,0,0,0,34.2,65
355,410,24,0,16,4,0,0,0,0,0,12,38,3.17,0,16,12,111,9.25,0,0,0,0,26.9,99
356,276,25,1,17,0,0,0,0,0,0,8,54,6.75,0,17,8,91,11.38,0,0,0,0,22.5,138
357,233,23,1,17,6,0,0,0,0,0,2,5,2.5,0,42,17,167,9.82,0,1,1,0,32.2,137
358,217,30,1,9,0,19,26,179,2,0,17,1,0.06,0,0,0,0,,0,1,0,0,15.3,56
359,396,30,1,3,0,27,50,276,1,1,3,9,3,0,0,0,0,,0,0,0,0,13.9,57
360,590,25,0,11,0,0,0,0,0,0,20,70,3.5,0,18,12,71,5.92,0,0,0,0,26.1,101
361,400,30,1,17,6,0,0,0,0,0,0,0,,0,5,3,22,7.33,1,0,0,2,17.2,100
362,368,28,1,17,1,0,0,0,0,0,0,0,,0,9,8,83,10.38,1,0,0,1,22.3,139
363,292,24,1,17,8,0,0,0,0,0,0,0,,0,17,14,125,8.93,0,0,0,0,26.5,66
364,132,26,1,3,2,31,44,257,0,0,8,32,4,0,0,0,0,,0,0,0,0,13.5,58
365,0,25,1,8,1,18,39,226,1,1,11,22,2,0,0,0,0,,0,0,0,0,13.2,59
366,0,24,1,4,1,25,41,266,0,1,11,41,3.73,0,0,0,0,,0,0,0,0,12.7,60
367,366,25,0,17,0,0,0,0,0,0,22,99,4.5,0,6,5,34,6.8,0,0,0,0,18.3,102
368,0,25,1,3,0,0,0,0,0,0,0,0,,0,1,1,69,69,1,0,0,1,13.9,140
369,373,24,1,16,3,0,0,0,0,0,0,0,,0,26,12,117,9.75,0,0,0,0,23.7,142
370,440,23,1,10,2,0,0,0,0,0,0,0,,0,11,9,124,13.78,0,0,0,0,21.4,141
371,307,27,0,1,0,0,0,0,0,0,4,55,13.75,1,0,0,0,,0,0,0,1,11.5,104
372,167,27,1,8,4,0,0,0,0,0,0,0,,0,18,7,57,8.14,1,0,0,1,18.7,143
373,0,22,0,16,1,0,0,0,0,0,30,82,2.73,0,4,4,35,8.75,0,0,0,0,15.7,103
374,0,23,1,14,1,0,0,0,0,0,0,0,,0,14,4,107,26.75,0,0,0,0,14.7,145
375,539,24,0,17,0,0,0,0,0,0,22,102,4.64,0,3,2,11,5.5,0,0,0,0,13.3,105
376,430,27,1,8,2,0,0,0,0,0,0,0,,0,16,6,106,17.67,0,0,0,0,16.6,147
377,581,27,1,1,0,0,0,0,0,0,0,0,,0,2,1,49,49,1,0,0,1,11.9,144
378,367,24,1,17,9,0,0,0,0,0,0,0,,0,28,18,105,5.83,0,0,0,0,28.5,69
379,0,23,1,7,1,0,0,0,0,0,2,6,3,0,9,7,41,5.86,1,0,0,1,17.7,146
380,618,24,1,11,2,0,0,0,0,0,0,0,,0,9,6,51,8.5,1,0,0,1,17.1,67
381,479,26,1,9,1,0,0,0,0,0,0,0,,0,8,5,47,9.4,1,0,0,1,15.7,68
382,351,25,1,17,5,0,0,0,0,0,0,0,,0,8,6,40,6.67,1,0,0,1,16,70
383,468,24,1,16,11,0,0,0,0,0,0,0,,0,19,12,100,8.33,0,1,0,0,22,71
384,347,26,1,4,0,20,36,212,0,0,3,11,3.67,0,0,0,0,,0,0,0,0,9.6,61
385,417,25,1,16,3,0,0,0,0,0,0,0,,0,8,5,36,7.2,1,0,0,1,14.6,73
386,0,24,1,10,1,0,0,0,0,0,0,0,,0,9,6,95,15.83,0,0,0,0,15.5,150
387,353,32,1,12,5,0,0,0,0,0,0,0,,0,10,6,40,6.67,1,0,0,1,16,72
388,0,24,1,11,1,0,0,0,0,0,0,0,,0,26,14,99,7.07,0,0,0,0,23.9,148
389,0,23,1,16,4,0,0,0,0,0,0,0,,0,15,5,38,7.6,1,0,0,1,14.8,149
390,141,27,1,2,1,0,0,0,0,0,0,0,,0,15,9,91,10.11,0,0,0,0,18.1,151
391,299,26,1,13,3,0,0,0,0,0,0,0,,0,12,9,86,9.56,0,0,0,0,17.6,78
392,404,27,1,5,0,0,0,0,0,0,0,0,,0,8,6,30,5,1,0,0,1,15,153
393,143,28,1,7,0,0,0,0,0,0,0,0,,0,10,4,31,7.75,1,0,0,1,13.1,152
394,0,24,1,5,0,0,0,0,0,0,0,0,,0,6,5,88,17.6,0,0,0,0,13.8,75
395,0,31,1,17,3,0,0,0,0,0,2,10,5,1,6,5,35,7,0,1,1,1,13.5,107
396,492,32,1,17,11,0,0,0,0,0,0,0,,0,4,3,30,10,1,0,0,1,12,74
397,0,22,1,17,2,0,0,0,0,0,0,0,,0,5,5,28,5.6,1,0,0,1,13.8,76
398,0,25,1,17,0,0,0,0,0,0,0,0,,0,14,9,88,9.78,0,0,0,0,17.8,77
399,424,23,0,7,0,0,0,0,0,0,17,70,4.12,0,5,3,18,6,0,0,0,0,11.8,106
400,394,25,0,16,1,0,0,0,0,0,15,80,5.33,0,0,0,0,,0,2,0,0,8,108
401,428,32,1,15,2,0,0,0,0,0,0,0,,0,12,6,76,12.67,0,0,0,0,13.6,161
402,465,27,1,13,1,0,0,0,0,0,4,3,0.75,0,16,11,79,7.18,0,1,0,0,19.2,156
403,0,25,1,11,1,0,0,0,0,0,0,0,,0,14,10,102,10.2,0,1,1,0,18.2,157
404,244,23,1,17,0,0,0,0,0,0,1,5,5,0,10,6,39,6.5,1,4,1,1,14.4,154
405,227,29,1,11,2,0,0,0,0,0,0,0,,0,11,8,84,10.5,0,0,0,0,16.4,155
406,329,25,1,8,2,0,0,0,0,0,3,-3,-1,0,12,7,100,14.29,0,1,1,0,14.7,160
407,0,27,1,3,1,21,33,187,0,0,1,4,4,0,0,0,0,,0,2,0,0,7.9,62
408,0,23,1,9,0,0,0,0,0,0,0,0,,0,3,1,21,21,1,0,0,1,9.1,158
409,619,27,1,3,0,0,0,0,0,0,0,0,,0,3,2,18,9,1,0,0,1,9.8,159
410,290,29,0,9,0,0,0,0,0,0,16,57,3.56,0,3,3,19,6.33,0,0,0,0,10.6,109
411,0,23,1,15,0,0,0,0,0,0,1,7,7,0,6,4,80,20,0,2,1,0,10.7,165
412,345,30,1,8,0,0,0,0,0,0,0,0,,0,9,7,66,9.43,0,0,0,0,13.6,166
413,210,25,0,2,0,0,0,0,0,0,13,46,3.54,0,5,3,24,8,0,0,0,0,10,111
414,356,27,1,17,8,0,0,0,0,0,0,0,,0,17,12,67,5.58,0,0,0,0,18.7,80
415,431,25,0,17,0,0,0,0,0,0,14,31,2.21,0,11,10,82,8.2,0,3,2,0,17.3,110
416,314,31,1,9,2,0,0,0,0,0,0,0,,0,13,8,73,9.13,0,0,0,0,15.3,79
417,0,26,1,8,0,0,0,0,0,0,0,0,,0,2,1,7,7,1,0,0,1,7.7,81
418,281,27,1,13,1,0,0,0,0,0,0,0,,0,9,5,69,13.8,0,0,0,0,11.9,163
419,246,29,1,17,1,0,0,0,0,0,0,0,,0,10,7,71,10.14,0,1,0,0,14.1,162
420,377,27,1,10,1,0,0,0,0,0,0,0,,0,5,5,69,13.8,0,0,0,0,11.9,164
421,0,24,1,5,2,0,0,0,0,0,0,0,,0,17,7,65,9.29,0,0,0,0,13.5,167
422,175,25,1,1,1,16,31,170,1,2,2,2,1,0,0,0,0,,0,0,0,0,7,63
423,0,32,1,3,1,17,30,199,1,2,3,4,1.33,0,0,0,0,,0,2,1,0,6.4,64
424,0,24,0,3,0,0,0,0,0,0,11,86,7.82,0,3,3,-2,-0.67,0,1,1,0,9.4,112
425,362,27,1,17,6,0,0,0,0,0,0,0,,0,13,8,84,10.5,0,1,1,0,14.4,82
426,161,32,1,9,0,0,0,0,0,0,0,0,,0,18,9,55,6.11,0,0,0,0,14.5,171
427,249,23,1,16,3,0,0,0,0,0,0,0,,0,19,8,62,7.75,0,0,0,0,14.2,168
428,580,26,1,17,2,0,0,0,0,0,0,0,,0,9,7,60,8.57,0,0,0,0,13,83
429,192,22,0,5,0,0,0,0,0,0,15,30,2,0,1,1,28,28,0,0,0,0,6.8,114
430,515,26,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,1,6,113
431,390,26,1,12,2,0,0,0,0,0,1,1,1,0,5,5,36,7.2,0,2,2,1,10.7,170
432,311,25,1,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,1,6,169
433,0,29,0,6,0,0,0,0,0,0,13,51,3.92,0,3,1,-2,-2,0,0,0,0,5.9,116
434,0,21,0,3,1,0,0,0,0,0,9,22,2.44,0,3,3,23,7.67,0,0,0,0,7.5,117
435,298,30,1,15,7,0,0,0,0,0,0,0,,0,12,8,65,8.13,0,1,1,0,12.5,87
436,437,31,1,13,0,0,0,0,0,0,0,0,,0,14,9,72,8,0,1,1,0,14.2,172
437,458,25,1,7,1,0,0,0,0,0,0,0,,0,5,5,51,10.2,0,0,0,0,10.1,85
438,374,26,1,8,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,2,1,1,5.5,175
439,238,24,1,7,3,0,0,0,0,0,0,0,,0,10,7,45,6.43,0,0,0,0,11.5,88
440,0,25,1,5,1,0,0,0,0,0,0,0,,0,6,2,48,24,0,1,0,0,6.8,173
441,252,29,1,17,4,0,0,0,0,0,0,0,,0,17,9,53,5.89,0,0,0,0,14.3,84
442,378,24,1,6,1,0,0,0,0,0,0,0,,0,8,4,47,11.75,0,0,0,0,8.7,174
443,0,23,0,16,0,0,0,0,0,0,6,14,2.33,0,3,3,37,12.33,0,0,0,0,8.1,115
444,296,32,1,3,1,12,19,118,0,0,3,0,0,0,0,0,0,,0,0,0,0,4.7,65
445,478,27,1,16,5,0,0,0,0,0,0,0,,0,12,7,46,6.57,0,0,0,0,11.6,86
446,355,23,1,15,5,0,0,0,0,0,0,0,,0,13,6,39,6.5,0,0,0,0,9.9,90
447,312,24,1,5,2,0,0,0,0,0,2,1,0.5,0,8,4,34,8.5,0,0,0,0,7.5,182
448,540,27,1,6,0,0,0,0,0,0,0,0,,0,4,3,37,12.33,0,0,0,0,6.7,181
449,504,27,1,6,0,0,0,0,0,0,0,0,,0,3,3,44,14.67,0,0,0,0,7.4,176
450,196,30,1,17,4,0,0,0,0,0,0,0,,0,13,8,36,4.5,0,0,0,0,11.6,93
451,506,25,1,9,5,0,0,0,0,0,0,0,,0,8,7,39,5.57,0,0,0,0,10.9,91
452,420,26,1,17,0,0,0,0,0,0,0,0,,0,5,3,41,13.67,0,0,0,0,7.1,179
453,0,26,0,1,0,0,0,0,0,0,5,24,4.8,0,3,1,15,15,0,0,0,0,4.9,119
454,375,24,1,7,1,0,0,0,0,0,0,0,,0,6,3,41,13.67,0,0,0,0,7.1,180
455,0,23,1,17,9,0,0,0,0,0,0,0,,0,7,6,37,6.17,0,0,0,0,9.7,92
456,422,24,1,17,5,0,0,0,0,0,0,0,,0,5,4,42,10.5,0,0,0,0,8.2,89
457,0,27,1,15,0,0,0,0,0,0,4,36,9,0,2,2,6,3,0,0,0,0,6.2,178
458,0,26,0,5,0,0,0,0,0,0,10,44,4.4,0,3,2,0,0,0,0,0,0,6.4,118
459,0,26,1,4,0,0,0,0,0,0,0,0,,0,3,2,44,22,0,0,0,0,6.4,177
460,0,23,0,6,0,0,0,0,0,0,10,31,3.1,0,2,0,0,,0,0,0,0,3.1,124
461,0,28,1,6,1,0,0,0,0,0,0,0,,0,3,3,31,10.33,0,0,0,0,6.1,184
462,262,24,1,1,0,0,0,0,0,0,0,0,,0,3,3,27,9,0,0,0,0,5.7,186
463,300,29,0,2,0,0,0,0,0,0,8,20,2.5,0,1,1,10,10,0,0,0,0,4,125
464,456,27,1,5,1,0,0,0,0,0,0,0,,0,8,7,34,4.86,0,0,0,0,10.4,183
465,464,24,1,9,3,0,0,0,0,0,0,0,,0,12,5,28,5.6,0,0,0,0,7.8,95
466,0,24,1,8,6,0,0,0,0,0,0,0,,0,5,5,28,5.6,0,0,0,0,7.8,96
467,180,31,1,4,0,3,5,28,0,0,2,20,10,0,0,0,0,,0,0,0,0,3.1,66
468,565,26,0,10,0,0,0,0,0,0,6,23,3.83,0,3,3,11,3.67,0,0,0,0,6.4,120
469,0,26,1,3,0,6,9,62,0,0,5,2,0.4,0,0,0,0,,0,0,0,0,2.7,67
470,0,24,0,2,0,0,0,0,0,0,6,22,3.67,0,1,1,10,10,0,0,0,0,4.2,122
471,0,23,0,3,0,0,0,0,0,0,13,33,2.54,0,1,0,0,,0,0,0,0,3.3,121
472,335,25,1,10,0,0,0,0,0,0,0,0,,0,8,4,29,7.25,0,0,0,0,6.9,94
473,0,22,0,2,0,0,0,0,0,0,13,32,2.46,0,0,0,0,,0,0,0,0,3.2,123
474,283,31,1,12,0,0,0,0,0,0,0,0,,0,7,3,30,10,0,0,0,0,6,185
475,348,25,1,7,0,0,0,0,0,0,2,7,3.5,0,4,4,20,5,0,0,0,0,6.7,187
476,0,23,1,15,0,0,0,0,0,0,0,0,,0,3,2,20,10,0,0,0,0,4,99
477,297,24,1,9,0,0,0,0,0,0,0,0,,0,6,2,22,11,0,0,0,0,4.2,189
478,530,27,1,4,0,0,0,0,0,0,0,0,,0,2,1,17,17,0,0,0,0,2.7,193
479,542,26,1,8,1,0,0,0,0,0,0,0,,0,4,3,16,5.33,0,0,0,0,4.6,100
480,0,22,1,9,1,0,0,0,0,0,2,26,13,0,6,3,16,5.33,0,1,1,0,5.2,190
481,0,23,1,8,0,0,0,0,0,0,0,0,,0,1,1,23,23,0,0,0,0,3.3,188
482,0,24,1,12,2,0,0,0,0,0,0,0,,0,4,3,21,7,0,0,0,0,5.1,98
483,245,29,1,7,2,0,0,0,0,0,0,0,,0,10,3,15,5,0,0,0,0,4.5,196
484,512,26,1,6,0,0,0,0,0,0,0,0,,0,2,2,17,8.5,0,0,0,0,3.7,194
485,0,23,0,1,0,0,0,0,0,0,6,15,2.5,0,1,1,3,3,0,0,0,0,2.8,128
486,0,30,1,2,0,0,0,0,0,0,0,0,,0,1,1,16,16,0,0,0,0,2.6,195
487,0,25,0,3,0,0,0,0,0,0,6,17,2.83,0,0,0,0,,0,0,0,0,1.7,129
488,0,24,1,9,0,0,0,0,0,0,0,0,,0,7,3,22,7.33,0,0,0,0,5.2,191
489,522,26,1,1,0,0,0,0,0,0,0,0,,0,3,2,40,20,0,1,1,0,4,192
490,523,27,0,4,0,0,0,0,0,0,5,22,4.4,0,0,0,0,,0,0,0,0,2.2,127
491,0,25,0,2,0,0,0,0,0,0,4,10,2.5,0,2,1,13,13,0,0,0,0,3.3,126
492,0,28,1,12,1,0,0,0,0,0,0,0,,0,1,1,22,22,0,0,0,0,3.2,97
493,628,28,1,1,0,1,1,19,0,0,0,0,,0,0,0,0,,0,0,0,0,0.8,71
494,339,31,1,2,0,0,0,0,0,0,0,0,,0,4,1,5,5,0,0,0,0,1.5,211
495,0,22,1,11,1,0,0,0,0,0,0,0,,0,4,1,12,12,0,0,0,0,2.2,198
496,0,24,0,8,0,0,0,0,0,0,5,12,2.4,0,2,1,-4,-4,0,0,0,0,1.8,133
497,546,25,1,12,1,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,1.6,207
498,484,24,0,1,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,0,0.7,134
499,0,26,1,2,0,0,0,0,0,0,0,0,,0,2,1,5,5,0,0,0,0,1.5,111
500,429,27,1,15,0,0,0,0,0,0,0,0,,0,3,3,14,4.67,0,0,0,0,4.4,101
501,0,23,1,3,0,0,0,0,0,0,0,0,,0,4,2,11,5.5,0,0,0,0,3.1,200
502,503,29,1,17,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,0,0,0,1.5,112
503,0,29,1,3,0,0,0,0,0,0,0,0,,0,3,1,5,5,0,0,0,0,1.5,113
504,0,27,1,16,0,0,0,0,0,0,0,0,,0,3,1,12,12,0,0,0,0,2.2,102
505,556,27,0,5,0,0,0,0,0,0,3,-1,-0.33,0,1,1,11,11,0,0,0,0,2,130
506,558,27,1,15,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,0,0.7,135
507,241,26,1,3,0,0,0,0,0,0,0,0,,0,2,2,12,6,0,0,0,0,3.2,199
508,0,25,0,5,0,0,0,0,0,0,3,10,3.33,0,1,1,-1,-1,0,0,0,0,1.9,131
509,207,26,1,3,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,1.9,204
510,510,27,1,9,0,0,0,0,0,0,0,0,,0,2,1,6,6,0,0,0,0,1.6,208
