Age,Previous Rank,FantPos,Games Played,Games Started,Cmp,Att,Yds,TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Total TD,PPR,Rank,Player
35,26,3,16,16,0,0,0,0,0,1,1,0,133,97,823,3,3,195.4,77,Travis Kelce
23,88,2,14,12,234,384,2403,15,9,43,249,6,0,0,0,0,6,195,78,Bryce Young
27,220,1,16,16,0,1,0,0,0,0,0,0,106,64,992,5,5,193.2,79,Darnell Mooney
26,405,0,13,11,0,0,0,0,0,195,905,9,38,32,153,0,9,191.8,80,J.K. Dobbins
27,39,1,15,12,0,0,0,0,0,0,0,0,108,66,992,5,5,191.2,81,D.K. Metcalf
29,68,3,17,13,0,0,0,0,0,4,5,0,69,55,673,11,11,188.8,82,Mark Andrews
21,,1,17,13,0,0,0,0,0,20,104,3,98,59,638,6,9,187.2,83,Xavier Worthy
23,162,0,17,6,0,0,0,0,0,135,569,8,52,42,340,1,9,186.9,84,Zach Charbonnet
32,27,1,15,15,0,1,0,0,1,0,0,0,121,70,744,7,7,184.4,85,Keenan Allen
23,135,1,14,8,0,0,0,0,0,1,12,0,107,72,803,5,5,183.5,86,Josh Downs
23,165,1,17,7,0,0,0,0,0,3,18,0,140,93,699,3,3,182.7,87,Wan'Dale Robinson
24,158,1,15,9,0,0,0,0,0,2,4,0,100,76,821,4,4,182.5,88,Khalil Shakir
25,,0,17,12,0,0,0,0,0,192,839,5,53,38,284,1,6,182.3,89,Tyrone Tracy Jr.
26,66,2,11,11,291,399,2867,19,7,17,49,0,0,0,0,0,0,181.6,90,Tua Tagovailoa
24,59,0,11,11,0,0,0,0,0,153,573,7,53,46,299,1,8,181.2,91,Kenneth Walker III
34,301,3,17,17,0,0,0,0,0,0,0,0,91,66,654,7,7,177.4,92,Zach Ertz
22,,2,13,12,225,338,2276,15,10,54,421,2,0,0,0,0,2,177.1,93,Drake Maye
36,89,2,14,14,303,453,3508,18,16,23,0,0,0,0,0,0,0,176.3,94,Kirk Cousins
26,117,0,15,14,0,0,0,0,0,207,801,7,41,33,168,1,8,175.9,95,Rhamondre Stevenson
31,120,1,12,11,0,0,0,0,0,2,10,0,100,67,710,6,6,175,96,Cooper Kupp
23,204,1,15,11,0,0,0,0,0,3,6,0,91,55,711,8,8,174.7,97,Quentin Johnston
23,11,3,16,16,0,0,0,0,0,0,0,0,83,60,726,7,7,174.6,98,Sam LaPorta
25,224,1,17,14,0,0,0,0,0,0,0,0,72,45,756,9,9,174.6,99,Rashod Bateman
36,78,2,11,11,214,336,2482,16,5,43,155,2,0,0,0,0,2,172.8,100,Russell Wilson
26,226,3,17,11,0,0,0,0,0,0,0,0,78,65,653,7,7,168.3,101,Pat Freiermuth
27,62,1,16,14,0,0,0,0,0,0,0,0,111,69,808,3,3,165.8,102,Michael Pittman Jr.
23,55,1,14,12,0,0,0,0,0,2,-6,0,103,59,900,3,3,164.4,103,George Pickens
22,164,2,11,11,126,264,1814,8,12,86,499,6,1,1,-1,0,6,163.4,104,Anthony Richardson
24,219,3,17,17,0,0,0,0,0,3,6,0,70,50,707,7,7,163.3,105,Tucker Kraft
