Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,FantPt,PPR,PreRank
26,7,7,0,0,0,0,0,0,0,,0,47,25,374,14.96,0,0,0,0,37,62.4,25
29,12,9,0,1,0,0,0,1,6,6,0,38,28,305,10.89,1,0,0,1,37,65.1,184
25,16,3,0,1,0,0,0,3,26,8.67,0,40,30,308,10.27,1,1,1,1,37,67.4,317
22,17,0,0,0,0,0,0,30,174,5.8,1,12,9,75,8.33,1,0,0,2,37,45.9,0
28,16,13,0,0,0,0,0,0,0,,0,33,22,311,14.14,1,0,0,1,37,59.1,268
30,17,1,0,0,0,0,0,30,112,3.73,0,28,19,198,10.42,1,0,0,1,37,56,421
26,17,13,0,0,0,0,0,0,0,,0,30,24,298,12.42,1,0,0,1,36,59.8,454
30,18,5,0,0,0,0,0,0,0,,0,34,21,298,14.19,1,0,0,1,36,56.8,274
31,14,7,0,0,0,0,0,0,0,,0,29,14,231,16.5,2,0,0,2,35,49.1,186
26,15,2,0,0,0,0,0,0,0,,0,41,26,291,11.19,1,0,0,1,35,61.1,432
25,17,9,0,0,0,0,0,0,0,,0,49,30,294,9.8,1,0,0,1,35,65.4,251
28,14,8,0,0,0,0,0,0,0,,0,26,18,231,12.83,2,0,0,2,35,53.1,271
25,10,9,0,0,0,0,0,0,0,,0,42,20,239,11.95,2,1,1,2,34,53.9,113
24,16,0,0,0,0,0,0,32,153,4.78,1,15,11,61,5.55,1,0,0,2,33,44.4,385
26,17,7,0,0,0,0,0,0,0,,0,45,31,293,9.45,1,2,1,1,33,64.3,265
28,4,4,0,0,0,0,0,50,202,4.04,0,19,15,146,9.73,0,1,1,0,33,47.8,1
28,14,2,0,0,0,0,0,5,14,2.8,0,46,31,253,8.16,1,0,0,1,33,63.7,131
24,12,11,0,0,0,0,0,0,0,,0,32,23,234,10.17,2,1,1,2,33,56.4,254
25,17,4,0,0,0,0,0,0,0,,0,37,28,248,8.86,1,0,0,1,33,60.8,369
31,17,10,0,0,0,0,0,0,0,,0,20,17,135,7.94,3,0,0,3,32,48.5,614
24,15,0,0,0,0,0,0,36,183,5.08,1,13,11,69,6.27,0,0,0,1,31,42.2,397
29,2,1,32,47,361,2,2,9,24,2.67,2,0,0,0,,0,2,1,2,31,30.8,84
24,13,3,0,0,0,0,0,0,0,,0,37,24,254,10.58,1,1,0,1,31,55.4,358
22,17,7,1,1,24,0,0,4,6,1.5,0,55,23,312,13.57,0,2,1,0,31,53.8,0
