Column1,Column2,,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
436,Jalen Brooks,0,DAL,WR,23,7,0,0,0,0,0,0,0,0,,0,6,6,64,10.67,0,0,0,0,,,6,12.4,12.4,9.4,,173,
437,DeAndre Carter,174,LVR,WR,30,17,1,0,0,0,0,0,3,18,6,0,7,4,39,9.75,0,2,0,0,,,6,9.7,9.7,7.7,,176,
438,Payne Durham,0,TAM,TE,23,13,2,0,0,0,0,0,0,0,,0,7,5,58,11.6,0,0,0,0,,,6,10.8,10.8,8.3,,88,
439,Blaine Gabbert,464,KAN,QB,34,2,1,18,35,185,0,3,7,45,6.43,0,0,0,0,,0,0,0,0,,,6,5.9,8.9,8.9,,66,
440,Rakim Jarrett,0,TAM,WR,22,10,0,0,0,0,0,0,1,0,0,0,9,4,60,15,0,0,0,0,,,6,10,10,8,,175,
441,Ko Kieft,384,TAM,TE,25,16,6,0,0,0,0,0,0,0,,0,5,1,2,2,1,0,0,1,,,6,7.2,7.2,6.7,,86,
442,Isaiah McKenzie,152,IND,WR,28,13,2,0,0,0,0,0,3,14,4.67,0,14,11,82,7.45,0,3,2,0,,,6,16.6,18.6,11.1,,177,
443,Equanimeous St. Brown,244,CHI,WR,27,7,2,0,0,0,0,0,0,0,,0,6,5,62,12.4,0,0,0,0,,,6,11.2,11.2,8.7,,174,
444,Ian Thomas,341,CAR,TE,27,12,5,0,0,0,0,0,0,0,,0,9,5,56,11.2,0,0,0,0,,,6,10.6,10.6,8.1,,89,
445,Darnell Washington,0,PIT,TE,22,17,7,0,0,0,0,0,0,0,,0,10,7,61,8.71,0,0,0,0,,,6,13.1,13.1,9.6,,87,
446,Mitchell Wilcox,343,CIN,TE,27,17,4,0,0,0,0,0,0,0,,0,12,9,56,6.22,0,0,0,0,,,6,14.6,14.6,10.1,,90,
447,Damien Williams,635,ARI,RB,31,3,0,0,0,0,0,0,11,43,3.91,0,2,2,12,6,0,0,0,0,,,6,7.5,7.5,6.5,,114,
448,Brian Hoyer,539,LVR,QB,38,3,1,23,42,231,0,2,3,-3,-1,0,0,0,0,,0,0,0,0,,,5,4.9,6.9,6.9,,67,
449,Ty Montgomery,443,NWE,WR,30,13,0,0,0,0,0,0,3,9,3,0,12,5,40,8,0,0,0,0,,,5,9.9,9.9,7.4,,179,
450,Justyn Ross,0,KAN,WR,24,10,1,0,0,0,0,0,0,0,,0,11,6,53,8.83,0,0,0,0,,,5,11.3,11.3,8.3,,178,
451,Brett Rypien,358,LAR,QB,27,2,1,18,38,172,0,1,3,19,6.33,0,0,0,0,,0,2,1,0,,,5,4.8,6.8,5.8,,68,
452,Mike Strachan,454,CAR,WR,26,4,1,0,0,0,0,0,0,0,,0,3,1,45,45,0,0,0,0,,,5,5.5,5.5,5,,180,
453,Michael Burton,499,DEN,FB,31,17,3,0,0,0,0,0,7,9,1.29,0,3,3,8,2.67,0,0,0,0,1,,4,6.7,6.7,5.2,,118,
454,Grant Calcaterra,434,PHI,TE,25,15,1,0,0,0,0,0,0,0,,0,4,4,39,9.75,0,0,0,0,,,4,7.9,7.9,5.9,,91,
455,Elijah Cooks,0,JAX,WR,25,9,0,0,0,0,0,0,0,0,,0,4,3,38,12.67,0,0,0,0,,,4,6.8,6.8,5.3,,182,
456,Britain Covey,575,PHI,WR,26,16,0,0,0,0,0,0,0,0,,0,6,4,42,10.5,0,2,0,0,,,4,8.2,8.2,6.2,,181,
457,Leonard Fournette,56,BUF,RB,28,2,0,0,0,0,0,0,12,40,3.33,0,0,0,0,,0,0,0,0,,,4,4,4,4,,116,
458,Peyton Hendershot,297,DAL,TE,24,8,1,0,0,0,0,0,1,0,0,0,7,4,38,9.5,0,0,0,0,,,4,7.8,7.8,5.8,,92,
459,Rashaad Penny,229,PHI,RB,27,3,0,0,0,0,0,0,11,33,3,0,1,1,5,5,0,0,0,0,,,4,4.8,4.8,4.3,,117,
460,Jack Stoll,403,PHI,TE,25,17,10,0,0,0,0,0,0,0,,0,8,5,38,7.6,0,0,0,0,,,4,8.8,8.8,6.3,,93,
461,Ke'Shawn Vaughn,446,TAM,RB,26,6,0,0,0,0,0,0,24,42,1.75,0,5,2,2,1,0,0,0,0,,,4,6.4,6.4,5.4,,115,
462,Khari Blasingame,564,CHI,FB,27,16,2,0,0,0,0,0,8,26,3.25,0,6,3,2,0.67,0,0,0,0,,,3,5.8,5.8,4.3,,122,
463,Keelan Doss,0,LAC,WR,27,5,0,0,0,0,0,0,0,0,,0,13,6,33,5.5,0,0,0,0,,,3,9.3,9.3,6.3,,183,
464,Greg Dulcich,213,DEN,TE,23,2,1,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4,,99,
465,Devin Duvernay,151,BAL,WR,26,13,1,0,0,0,0,0,4,15,3.75,0,9,4,18,4.5,0,0,0,0,,,3,7.3,7.3,5.3,,184,
466,Derrick Gore,0,WAS,RB,29,6,0,0,0,0,0,0,3,26,8.67,0,0,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,123,
467,C.J. Ham*,0,MIN,FB,30,17,5,0,0,0,0,0,1,7,7,0,9,7,25,3.57,0,0,0,0,,,3,10.2,10.2,6.7,,120,
468,Julian Hill,0,MIA,TE,23,15,4,0,0,0,0,0,0,0,,0,9,6,48,8,0,1,1,0,,,3,8.8,9.8,5.8,,96,
469,Trishton Jackson,0,MIN,WR,25,7,0,0,0,0,0,0,0,0,,0,4,2,9,4.5,0,0,0,0,1,,3,4.9,4.9,3.9,,185,
470,James Mitchell,363,DET,TE,24,15,1,0,0,0,0,0,0,0,,0,2,2,28,14,0,0,0,0,,,3,4.8,4.8,3.8,,97,
471,Jalen Nailor,316,MIN,WR,24,6,1,0,0,0,0,0,0,0,,0,6,3,29,9.67,0,0,0,0,,,3,5.9,5.9,4.4,,186,
472,Teagan Quitoriano,320,HOU,TE,23,7,5,0,0,0,0,0,0,0,,0,3,2,33,16.5,0,0,0,0,,,3,5.3,5.3,4.3,,94,
473,Cooper Rush,199,DAL,QB,30,7,0,18,24,144,0,1,12,-5,-0.42,0,0,0,0,,0,0,0,0,,,3,3.3,4.3,4.3,,69,
474,Steven Sims,364,HOU,WR,26,3,0,0,0,0,0,0,1,1,1,0,3,3,25,8.33,0,0,0,0,,,3,5.6,5.6,4.1,,187,
475,Keith Smith,549,ATL,FB,31,13,6,0,0,0,0,0,0,0,,0,3,3,33,11,0,0,0,0,,,3,6.3,6.3,4.8,,119,
476,Sean Tucker,0,TAM,RB,22,11,0,0,0,0,0,0,15,23,1.53,0,2,2,9,4.5,0,0,0,0,,,3,5.2,5.2,4.2,,121,
477,Malik Willis,352,TEN,QB,24,3,0,4,5,74,0,0,5,21,4.2,0,0,0,0,,0,1,1,0,,,3,3.1,4.1,3.1,,70,
478,Charlie Woerner,638,SFO,TE,26,17,2,0,0,0,0,0,0,0,,0,3,3,32,10.67,0,0,0,0,,,3,6.2,6.2,4.7,,95,
479,Kenny Yeboah,640,NYJ,TE,25,5,1,0,0,0,0,0,0,0,,0,4,2,28,14,0,0,0,0,,,3,4.8,4.8,3.8,,98,
480,Nate Adkins,0,DEN,TE,24,10,1,0,0,0,0,0,0,0,,0,5,4,22,5.5,0,0,0,0,,,2,6.2,6.2,4.2,,100,
481,Kayshon Boutte,0,NWE,WR,21,5,0,0,0,0,0,0,0,0,,0,7,2,19,9.5,0,0,0,0,,,2,3.9,3.9,2.9,,190,
482,Miles Boykin,533,PIT,WR,27,17,0,0,0,0,0,0,0,0,,0,4,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,192,
483,DeeJay Dallas,295,SEA,RB,25,17,0,0,0,0,0,0,10,36,3.6,0,9,6,26,4.33,0,2,2,0,,,2,8.2,10.2,5.2,,124,
484,Tyrion Davis-Price,413,SFO,RB,23,1,0,0,0,0,0,0,6,21,3.5,0,0,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,126,
485,Elijah Dotson,0,LAC,RB,24,4,0,0,0,0,0,0,4,6,1.5,0,2,2,13,6.5,0,0,0,0,,,2,3.9,3.9,2.9,,128,
486,Zach Evans,0,LAR,RB,22,10,0,0,0,0,0,0,9,19,2.11,0,0,0,0,,0,0,0,0,,,2,1.9,1.9,1.9,,129,
487,Erik Ezukanma,579,MIA,WR,23,2,0,0,0,0,0,0,5,22,4.4,0,1,0,0,,0,0,0,0,,,2,2.2,2.2,2.2,,188,
488,Jake Funk,585,IND,RB,25,4,0,0,0,0,0,0,2,10,5,0,1,1,12,12,0,0,0,0,,,2,3.2,3.2,2.7,,125,
489,Jaren Hall,0,MIN,QB,25,3,2,13,20,168,0,1,6,14,2.33,0,0,0,0,,0,2,2,0,,,2,2.1,5.1,3.1,,71,
490,Marvin Jones,166,DET,WR,33,6,4,0,0,0,0,0,0,0,,0,10,5,35,7,0,1,1,0,,,2,6.5,7.5,4,,194,
491,Zonovan Knight,234,DET,RB,22,2,0,0,0,0,0,0,3,13,4.33,0,1,1,8,8,0,0,0,0,,,2,3.1,3.1,2.6,,127,
492,Chris Manhertz,480,DEN,TE,31,16,4,0,0,0,0,0,0,0,,0,4,2,16,8,0,0,0,0,,,2,3.6,3.6,2.6,,103,
493,Nick Muse,612,MIN,TE,25,2,0,0,0,0,0,0,0,0,,0,1,1,22,22,0,0,0,0,,,2,3.2,3.2,2.7,,101,
494,Gunner Olszewski,444,2TM,WR,27,12,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,2,1,,,2,3,5,2.5,,189,
495,Zach Pascal,332,ARI,WR,29,14,1,0,0,0,0,0,0,0,,0,15,4,19,4.75,0,0,0,0,,,2,5.9,5.9,3.9,,191,
496,Laquon Treadwell,485,BAL,WR,28,5,1,0,0,0,0,0,0,0,,0,3,1,16,16,0,0,0,0,,,2,2.6,2.6,2.1,,193,
497,Trevon Wesco,475,TEN,TE,28,15,10,0,0,0,0,0,0,0,,0,3,1,21,21,0,0,0,0,,,2,3.1,3.1,2.6,,102,
498,Mike White,201,MIA,QB,28,6,0,5,6,74,1,1,8,-9,-1.13,0,0,0,0,,0,1,1,0,,,2,2.1,4.1,3.1,,72,
499,Alex Armah,559,WAS,RB,29,8,0,0,0,0,0,0,0,0,,0,3,3,13,4.33,0,0,0,0,,,1,4.3,4.3,2.8,,130,
500,Sean Clifford,0,GNB,QB,25,2,0,1,1,37,0,0,3,-2,-0.67,0,0,0,0,,0,1,0,0,,,1,1.3,1.3,1.3,,73,
501,Jashaun Corbin,0,NYG,RB,23,6,0,0,0,0,0,0,1,1,1,0,3,3,12,4,0,0,0,0,,,1,4.3,4.3,2.8,,131,
502,Kenyan Drake,136,2TM,RB,29,3,0,0,0,0,0,0,2,0,0,0,3,2,31,15.5,0,1,1,0,,,1,3.1,4.1,2.1,,135,
503,Ross Dwelley,362,SFO,TE,28,12,0,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0,,,1,2.2,2.2,1.7,,104,
504,D'Wayne Eskridge,440,SEA,WR,26,4,0,0,0,0,0,0,2,5,2.5,0,1,0,0,,0,0,0,0,,,1,0.5,0.5,0.5,,201,
505,Chris Evans,414,CIN,RB,26,8,0,0,0,0,0,0,2,12,6,0,1,1,-1,-1,0,0,0,0,,,1,2.1,2.1,1.6,,136,
506,Tucker Fisk,0,ATL,TE,24,6,2,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,,,1,1.9,1.9,1.4,,107,
507,John FitzPatrick,0,ATL,TE,23,9,0,0,0,0,0,0,0,0,,0,1,1,12,12,0,0,0,0,,,1,2.2,2.2,1.7,,105,
508,Cole Fotheringham,0,LVR,TE,26,2,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,108,
509,Evan Hull,0,IND,RB,23,1,0,0,0,0,0,0,1,1,1,0,1,1,6,6,0,0,0,0,,,1,1.7,1.7,1.2,,139,
510,Collin Johnson,0,CHI,WR,26,3,0,0,0,0,0,0,0,0,,0,1,1,11,11,0,0,0,0,,,1,2.1,2.1,1.6,,197,
511,Jakob Johnson,541,LVR,FB,29,13,5,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0,,,1,2.2,2.2,1.7,,134,
512,Mason Kinsey,603,TEN,WR,25,6,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,200,
513,A.J. McCarron,0,CIN,QB,33,2,0,4,5,19,0,0,0,0,,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,74,
514,Anthony McFarland Jr.,481,PIT,RB,25,3,0,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,0,0,0,,,1,3.1,3.1,2.1,,137,
515,Kene Nwangwu,419,MIN,RB,25,9,0,0,0,0,0,0,5,13,2.6,0,0,0,0,,0,0,0,0,,,1,1.3,1.3,1.3,,132,
516,Devine Ozigbo,546,DET,RB,27,3,0,0,0,0,0,0,3,5,1.67,0,1,1,8,8,0,0,0,0,,,1,2.3,2.3,1.8,,133,
517,Kevin Rader,617,TEN,TE,28,14,0,0,0,0,0,0,0,0,,0,3,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,109,
518,Eric Saubert,333,2TM,TE,29,10,1,0,0,0,0,0,0,0,,0,3,3,12,4,0,0,0,0,,,1,4.2,4.2,2.7,,106,
519,Willie Snead,623,SFO,WR,31,4,0,0,0,0,0,0,0,0,,0,3,2,14,7,0,0,0,0,,,1,3.4,3.4,2.4,,195,
520,Malik Taylor,0,NYJ,WR,28,3,0,0,0,0,0,0,0,0,,0,4,2,13,6.5,0,0,0,0,,,1,3.3,3.3,2.3,,196,
521,Cody Thompson,0,SEA,WR,27,7,0,0,0,0,0,0,0,0,,0,1,1,10,10,0,0,0,0,,,1,2,2,1.5,,198,
522,Austin Trammell,552,LAR,WR,25,16,0,0,0,0,0,0,0,0,,0,7,4,29,7.25,0,3,1,0,,,1,4.9,5.9,2.9,,199,
523,Jonathan Ward,498,TEN,RB,26,7,0,0,0,0,0,0,3,11,3.67,0,0,0,0,,0,0,0,0,,,1,1.1,1.1,1.1,,138,
524,Devon Allen,0,PHI,WR,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,205,
525,Stephen Anderson,529,LAC,TE,30,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,112,
526,Andre Baccellia,460,ARI,WR,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,206,
527,Michael Bandy,422,DEN,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,207,
528,Matt Barkley,0,JAX,QB,33,1,0,0,0,0,0,0,3,-3,-1,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3,,80,
529,Nick Bellore*,0,SEA,FB,34,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,143,
530,Chris Blair,0,ATL,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,208,
531,Teddy Bridgewater,266,DET,QB,31,1,0,0,0,0,0,0,2,-2,-1,0,0,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,79,
532,Matt Bushman,0,KAN,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,113,
533,Terrell Bynum,0,LAC,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,209,
534,Damiere Byrd,260,ATL,WR,30,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,210,
535,Jason Cabinda,534,DET,FB,27,4,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,,,,,,,,144,
536,Marquez Callaway,322,NOR,WR,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,211,
537,Stephen Carlson,0,CHI,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,114,
538,Irvin Charles,0,NYJ,WR,26,12,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,212,
539,Julius Chestnut,462,TEN,RB,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,145,
540,Dan Chisena,572,2TM,WR,26,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,213,
541,Corey Clement,361,ARI,RB,29,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,146,
542,Tanner Conner,573,MIA,TE,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,115,
543,Malik Cunningham,0,2TM,QB,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,76,
544,Darrell Daniels,0,DET,TE,29,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,
545,Frank Darby,503,ATL,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,214,
546,Jaelon Darden,490,CLE,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,215,
547,Malik Davis,302,DAL,RB,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,147,
548,Phillip Dorsett,283,DEN,WR,30,2,1,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,0,,,,,,,,216,
549,Colton Dowell,0,TEN,WR,24,10,1,0,0,0,0,0,0,0,,0,2,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,202,
550,Dylan Drummond,0,DET,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,217,
551,Sam Ehlinger,270,IND,QB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,75,
552,Princeton Fant,0,DAL,TE,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,117,
553,Ethan Fernea,581,IND,WR,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,218,
554,Anthony Firkser,416,DET,TE,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,118,
555,Dez Fitzpatrick,582,PIT,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,219,
556,Myles Gaskin,465,2TM,RB,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,148,
557,Zach Gentry,391,LVR,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,119,
558,Reggie Gilliam,392,BUF,FB,26,17,0,0,0,0,0,0,0,0,,0,1,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,141,
559,Antoine Green,0,DET,WR,24,9,0,0,0,0,0,0,0,0,,0,2,1,2,2,0,0,0,0,,,,1.2,1.2,0.7,,203,
560,Jacob Harris,537,JAX,WR,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,220,
561,N'Keal Harry,356,MIN,WR,26,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,221,
562,Jamycal Hasty,222,2TM,RB,27,5,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,149,
563,Parker Hesse,423,ATL,TE,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,
564,J.P. Holtz,592,NOR,TE,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,
565,Travis Homer,305,CHI,RB,25,16,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,150,
566,Jesper Horsted,511,LVR,TE,26,13,0,0,0,0,0,0,0,0,,0,1,1,4,4,0,0,0,0,,,,1.4,1.4,0.9,,110,
567,Mohamed Ibrahim,0,DET,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,151,
568,Godwin Igwebuike,540,2TM,RB,29,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,152,
569,Andy Isabella,514,BUF,WR,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,222,
570,Kearis Jackson,0,TEN,WR,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,223,
571,Lucky Jackson,0,MIN,WR,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,224,
572,Shedrick Jackson,0,CIN,WR,24,5,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,225,
573,Tyree Jackson,594,NYG,TE,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,
574,Johnny Johnson,597,HOU,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,226,
575,Hunter Kampmoyer,0,LAC,TE,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,
576,Dalton Keene,0,HOU,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,
577,Tyler Kroft,452,MIA,TE,31,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,
578,Zack Kuntz,0,NYJ,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,
579,Kwamie Lassiter II,605,CIN,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,2,2,0,0,0,0,,,,1.2,1.2,0.7,,204,
580,Hunter Long,606,LAR,TE,25,4,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,
581,Tay Martin,607,SFO,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,227,
582,Ben Mason,0,BAL,FB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,153,
583,Jordan Matthews,0,CAR,TE,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,
584,Kenny McIntosh,0,SEA,RB,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,154,
585,Sean McKeon,544,DAL,TE,26,9,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,129,
586,Tre' McKitty,442,LAC,TE,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,
587,Jeremy McNichols,0,SFO,RB,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,155,
588,Kirk Merritt,610,NOR,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,228,
589,Ryan Miller,0,TAM,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,229,
590,Jordan Mims,0,NOR,RB,24,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,156,
591,Stanley Morgan Jr.,611,CIN,WR,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,230,
592,Albert Okwuegbunam,371,PHI,TE,25,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,131,
593,Qadree Ollison,613,PIT,RB,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,157,
594,Henry Pearson,0,GNB,FB,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,158,
595,Josh Pederson,0,JAX,TE,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,
596,Nathan Peterman,438,CHI,QB,29,2,0,0,0,0,0,0,2,-4,-2,0,0,0,0,,0,1,0,0,,,,-0.4,-0.4,-0.4,,82,
597,Adam Prentice,519,NOR,FB,26,13,1,0,0,0,0,0,2,12,6,0,3,2,12,6,0,1,1,0,,,,2.4,3.4,1.4,,140,
598,Deneric Prince,0,KAN,RB,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,159,
599,Giovanni Ricci,420,CAR,FB,27,5,0,0,0,0,0,0,0,0,,0,1,1,2,2,0,0,0,0,,,,1.2,1.2,0.7,,142,
600,James Robinson,153,GNB,RB,25,1,0,0,0,0,0,0,1,2,2,0,1,1,-2,-2,0,0,0,0,,,,1,1,0.5,,160,
601,Aaron Rodgers,74,NYJ,QB,40,1,1,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,77,
602,Amari Rodgers,321,IND,WR,24,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,231,
603,Brady Russell,0,SEA,TE,25,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,
604,David Sills,409,DEN,WR,27,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,232,
605,Matthew Slater,622,NWE,WR,38,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,233,
606,Tre'Quan Smith,277,DEN,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,234,
607,Matt Sokol,624,NWE,TE,28,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,
608,SaRodorick Thompson,0,SEA,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,161,
609,Mitchell Tinsley,0,WAS,WR,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,235,
610,Noah Togiai,626,PHI,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,
611,Kyle Trask,553,TAM,QB,25,2,0,0,1,0,0,0,1,-1,-1,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,78,
612,DJ Turner,496,LVR,WR,26,10,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,236,
613,Xazavian Valladay,0,NYJ,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,162,
614,Nick Vannett,458,LAC,TE,30,8,5,0,0,0,0,0,0,0,,0,1,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,111,
615,Travis Vokolek,0,ARI,TE,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,136,
616,Dwayne Washington,474,DEN,RB,29,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,163,
617,Montrell Washington,554,KAN,WR,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,0,0,,,,,,,,237,
