Davante Adams 
Joe Mixon 
Stefon Diggs
O.J. Howard
Duke Johnson
Marlon Mack
Emmanuel Sanders
Latavius Murray
Curtis Samuel
Ben Roethlisberger
Tyrell Williams
Giovani Bernard
Adam Humphries
alen Ballage
Adam Vinatieri  
Seahawks
Saquon Barkley
Julio Jones
Todd Gurley II
David Montgomery
Amari Cooper
Carson Wentz
keenan Allen
Marlon Mack
Eric Ebron
Adrian Peterson
Hunter Henry
Colts
Brandon Aiyuk
N'eal Harry
Allen Lazard
Matt Gay
Ezekiel Elliott  
Justin Jefferson  
James Robinson  
kyle Pitts  
Julio Jones  
Russell Wilson  
kenny Golladay  
Melvin Gordon III  
Michael Carter  
DeVante Parker  
David Johnson  
Tony Pollard  
Hunter Henry  
Colts   
Tyrell Williams  
Rodrigo Blankenship  
Alvin kamara  
Travis kelce  
keenan Allen  
"DJ Moore Chi, "
Justin Herbert  
Dameon Pierce  
Michael Thomas  
Chris Godwin  
Nyheim Hines  
Melvin Gordon III  
Colts   
kadarius Toney  
Treylon Burks  
Jarvis Landry  
Matt Gay  
Alec Pierce  
Justin Jefferson  
Mark Andrews  
Najee Harris  
Trevor Lawrence  
Amari Cooper  
Christian kirk  
Alvin kamara  
Michael Pittman Jr.  
Jamaal Williams  
Ezekiel Elliott  
Eagles   
Elijah Mitchell  
Greg Dulcich  
Greg Zuerlein  
Derek Carr  
Chigoziem Okonkwo  
Jonathan Taylor  
Isiah Pacheco  
Davante Adams  
Mike Evans  
Rashee Rice  
Terry McLaurin  
kyle Pitts  
Nick Chubb  
Justin Herbert  
Dallas Goedert  
Aaron Rodgers  
Ezekiel Elliott  
Mike Williams  
Trey Benson  
Colts   
Matt Gay  
