Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,FantPt,PPR,PreRank
23,15,3,0,0,0,0,0,0,0,,0,22,15,245,16.33,1,0,0,1,31,45.5,496
30,15,10,0,0,0,0,0,0,0,,0,24,18,237,13.17,1,0,0,1,30,47.7,351
23,8,0,0,0,0,0,0,22,50,2.27,4,2,1,7,7,0,1,0,4,30,30.7,0
25,12,6,0,0,0,0,0,1,18,18,0,28,16,179,11.19,2,2,1,2,30,45.7,189
25,16,13,0,0,0,0,0,0,0,,0,40,26,241,9.27,1,1,0,1,30,56.1,397
30,16,9,0,0,0,0,0,1,-7,-7,0,58,28,296,10.57,0,0,0,0,29,56.9,205
33,3,3,0,0,0,0,0,0,0,,0,10,9,159,17.67,2,0,0,2,28,36.9,109
27,14,4,0,0,0,0,0,0,0,,0,21,12,219,18.25,1,0,0,1,28,39.9,354
22,10,2,0,0,0,0,0,2,16,8,0,26,13,200,15.38,1,0,0,1,28,40.6,0
23,16,2,0,0,0,0,0,0,0,,0,26,15,159,10.6,2,0,0,2,28,42.9,531
27,10,2,0,0,0,0,0,4,5,1.25,1,33,19,164,8.63,0,2,1,2,27,45.9,215
22,7,5,0,0,0,0,0,5,49,9.8,0,24,12,105,8.75,2,0,0,2,27,39.4,0
27,5,5,0,0,0,0,0,0,0,,0,20,14,153,10.93,2,0,0,2,27,41.3,337
22,7,4,0,0,0,0,0,53,201,3.79,0,21,15,89,5.93,0,1,1,0,27,42,415
33,3,1,45,64,435,3,2,6,6,1,0,0,0,0,,0,0,0,0,26,26,293
24,15,1,0,0,0,0,0,0,0,,0,24,14,204,14.57,1,0,0,1,26,40.4,300
23,8,0,0,0,0,0,0,1,11,11,0,35,23,244,10.61,0,0,0,0,26,48.5,555
29,9,6,0,0,0,0,0,1,15,15,0,21,12,186,15.5,1,0,0,1,26,38.1,187
24,14,0,0,0,0,0,0,13,49,3.77,2,15,12,92,7.67,0,2,0,2,26,38.1,406
23,15,1,0,0,0,0,0,4,15,3.75,0,13,9,189,21,1,0,0,1,26,35.4,0
31,13,1,0,1,0,0,0,59,229,3.88,0,12,7,33,4.71,0,0,0,0,26,33.2,224
24,12,6,0,0,0,0,0,0,0,,0,47,26,198,7.62,1,1,1,1,26,51.8,374
24,13,3,0,0,0,0,0,0,0,,0,24,12,200,16.67,1,0,0,1,26,38,375
25,16,10,0,0,0,0,0,0,0,,0,19,15,202,13.47,1,0,0,1,26,41.2,338
24,5,1,0,0,0,0,0,0,0,,0,14,8,127,15.88,2,0,0,2,25,32.7,331
25,3,3,41,87,474,2,2,10,77,7.7,0,0,0,0,,0,4,3,0,25,24.7,0
23,10,4,0,0,0,0,0,1,3,3,0,42,21,187,8.9,1,1,1,1,25,46,0
28,16,4,0,0,0,0,0,17,103,6.06,0,17,11,83,7.55,0,0,0,1,25,35.6,0
24,7,0,0,0,0,0,0,22,106,4.82,1,14,11,87,7.91,0,0,0,1,25,36.3,178
25,16,6,0,0,0,0,0,0,0,,0,39,18,186,10.33,1,0,0,1,25,42.6,473
26,16,0,0,0,0,0,0,23,115,5,0,21,15,88,5.87,1,1,1,1,24,39.3,501
22,7,0,0,0,0,0,0,36,133,3.69,1,12,7,51,7.29,0,0,0,1,24,31.4,0
24,11,4,1,1,16,0,0,0,0,,0,24,11,109,9.91,2,0,0,2,24,34.5,159
24,13,1,0,0,0,0,0,0,0,,0,16,9,184,20.44,1,0,0,1,24,33.4,265
22,10,0,0,0,0,0,0,0,0,,0,5,3,115,38.33,1,0,0,2,24,26.5,0
23,16,5,0,0,0,0,0,0,0,,0,22,10,169,16.9,1,0,0,1,23,32.9,0
23,16,0,0,0,0,0,0,16,116,7.25,1,9,6,57,9.5,0,0,0,1,23,29.3,0
31,10,7,0,0,0,0,0,0,0,,0,28,18,167,9.28,1,0,0,1,23,40.7,268
28,8,2,0,0,0,0,0,1,20,20,0,36,23,193,8.39,0,0,0,0,23,46.3,314
26,16,0,0,0,0,0,0,0,0,,0,16,12,170,14.17,1,0,0,1,23,35,0
22,12,0,0,0,0,0,0,37,128,3.46,1,10,9,43,4.78,0,0,0,1,23,32.1,0
28,16,3,0,0,0,0,0,0,0,,0,28,16,173,10.81,1,0,0,1,23,39.3,414
27,4,3,0,0,0,0,0,0,0,,0,19,12,166,13.83,1,0,0,1,23,34.6,0
23,7,0,0,0,0,0,0,29,200,6.9,0,11,9,22,2.44,0,0,0,0,22,31.2,232
